EventTemplate,Occurrences
closing AMQP connection <*> (10.0.11.197:48428 -> 10.0.11.23:5672 vhost: '/' user: 'gaia') ,18
accepting AMQP connection <*> (10.0.11.197:48432 -> 10.0.11.23:5672) ,12
<*> <*> (10.0.11.197:48432 -> 10.0.11.23:5672): user 'gaia' authenticated and granted access to vhost '/' ,12
closing AMQP connection <*> (10.0.11.208:35870 -> 10.0.11.23:5672 vhost: '/' user: 'gaia') ,21
accepting AMQP connection <*> (10.0.11.208:35876 -> 10.0.11.23:5672) ,10
closing AMQP connection <*> (10.0.11.197:48432 -> 10.0.11.23:5672 vhost: '/' user: 'gaia') ,12
<*> <*> (10.0.11.208:35876 -> 10.0.11.23:5672): user 'gaia' authenticated and granted access to vhost '/' ,10
accepting AMQP connection <*> (10.0.11.197:48438 -> 10.0.11.23:5672) ,13
<*> <*> (10.0.11.197:48438 -> 10.0.11.23:5672): user 'gaia' authenticated and granted access to vhost '/' ,13
closing AMQP connection <*> (10.0.11.208:35876 -> 10.0.11.23:5672 vhost: '/' user: 'gaia') ,10
closing AMQP connection <*> (10.0.11.197:48438 -> 10.0.11.23:5672 vhost: '/' user: 'gaia') ,13
accepting AMQP connection <*> (10.0.11.208:35880 -> 10.0.11.23:5672) ,12
accepting AMQP connection <*> (10.0.11.197:48442 -> 10.0.11.23:5672) ,17
<*> <*> (10.0.11.208:35880 -> 10.0.11.23:5672): user 'gaia' authenticated and granted access to vhost '/' ,12
<*> <*> (10.0.11.197:48442 -> 10.0.11.23:5672): user 'gaia' authenticated and granted access to vhost '/' ,17
closing AMQP connection <*> (10.0.11.208:35880 -> 10.0.11.23:5672 vhost: '/' user: 'gaia') ,12
accepting AMQP connection <*> (10.0.11.208:35888 -> 10.0.11.23:5672) ,15
closing AMQP connection <*> (10.0.11.197:48442 -> 10.0.11.23:5672 vhost: '/' user: 'gaia') ,17
<*> <*> (10.0.11.208:35888 -> 10.0.11.23:5672): user 'gaia' authenticated and granted access to vhost '/' ,15
accepting AMQP connection <*> (10.0.11.197:48450 -> 10.0.11.23:5672) ,9
<*> <*> (10.0.11.197:48450 -> 10.0.11.23:5672): user 'gaia' authenticated and granted access to vhost '/' ,9
closing AMQP connection <*> (10.0.11.197:48450 -> 10.0.11.23:5672 vhost: '/' user: 'gaia') ,9
